Sample number,depth?cm?,Age (yr BP),Age (kyr BP),sand,Silt,clay,"
Average particle size
Mz",Mean grain size (um),Median particle sizeMd???,Median (um),"

Skewness value
Skf???",kurtosisKg???,"

Separation coefficient
?i???",Sediment types
1#,2 ,,,1.485 ,68.608 ,29.907 ,7.111 ,7.235 ,6.987 ,7.881 ,-0.139 ,0.994 ,1.734 ,clay silt
2#,4 ,,,2.337 ,68.739 ,28.924 ,7.082 ,7.380 ,6.967 ,7.992 ,-0.127 ,1.033 ,1.727 ,clay silt
3#,6 ,2025.9 ,2 ,7.673 ,63.454 ,28.873 ,6.951 ,8.083 ,6.884 ,8.465 ,0.081 ,1.426 ,2.270 ,clay silt
4#,8 ,2251.7 ,2 ,1.869 ,67.169 ,30.962 ,7.180 ,6.896 ,7.054 ,7.524 ,-0.132 ,1.015 ,1.747 ,clay silt
5#,10 ,2477.5 ,2 ,2.646 ,68.568 ,28.786 ,7.064 ,7.471 ,6.950 ,8.089 ,-0.125 ,1.031 ,1.732 ,clay silt
6#,12 ,2703.3 ,3 ,4.067 ,67.655 ,28.278 ,7.008 ,7.770 ,6.926 ,8.225 ,-0.084 ,1.062 ,1.788 ,clay silt
7#,14 ,2929.1 ,3 ,2.925 ,68.384 ,28.691 ,7.025 ,7.680 ,6.928 ,8.213 ,-0.106 ,1.027 ,1.778 ,clay silt
8#,16 ,3154.9 ,3 ,3.389 ,72.312 ,24.299 ,6.721 ,9.481 ,6.568 ,10.541 ,-0.168 ,0.991 ,1.821 ,clay silt
86#,172 ,,0 ,4.385 ,70.644 ,24.971 ,6.723 ,9.465 ,6.616 ,10.193 ,-0.128 ,0.984 ,1.860 ,clay silt
87#,174 ,,0 ,1.299 ,72.623 ,26.078 ,6.917 ,8.274 ,6.768 ,9.177 ,-0.176 ,0.999 ,1.701 ,clay silt
88#,176 ,,0 ,1.676 ,73.130 ,25.194 ,6.849 ,8.673 ,6.708 ,9.565 ,-0.169 ,0.995 ,1.712 ,clay silt
89#,178 ,,0 ,2.736 ,73.267 ,23.998 ,6.705 ,9.584 ,6.559 ,10.607 ,-0.169 ,0.968 ,1.773 ,clay silt
90#,180 ,,0 ,2.991 ,71.845 ,25.164 ,6.761 ,9.221 ,6.615 ,10.199 ,-0.162 ,0.974 ,1.811 ,clay silt
91#,182 ,,0 ,2.573 ,72.326 ,25.100 ,6.775 ,9.130 ,6.638 ,10.039 ,-0.160 ,0.972 ,1.779 ,clay silt
92#,184 ,,0 ,4.172 ,70.204 ,25.624 ,6.751 ,9.283 ,6.649 ,9.962 ,-0.123 ,0.970 ,1.854 ,clay silt
93#,186 ,,0 ,4.344 ,71.021 ,24.635 ,6.688 ,9.699 ,6.551 ,10.666 ,-0.151 ,0.972 ,1.857 ,clay silt
94#,188 ,,0 ,2.510 ,73.539 ,23.950 ,6.702 ,9.608 ,6.513 ,10.946 ,-0.202 ,0.975 ,1.785 ,clay silt
95#,190 ,,0 ,2.757 ,70.264 ,26.979 ,6.885 ,8.460 ,6.752 ,9.278 ,-0.149 ,0.986 ,1.834 ,clay silt
96#,192 ,,0 ,1.048 ,75.826 ,23.126 ,6.739 ,9.360 ,6.516 ,10.925 ,-0.246 ,1.000 ,1.688 ,clay silt
97#,194 ,,0 ,1.702 ,75.234 ,23.064 ,6.729 ,9.428 ,6.559 ,10.605 ,-0.196 ,0.995 ,1.692 ,clay silt
98#,196 ,,0 ,5.545 ,70.991 ,23.464 ,6.573 ,10.502 ,6.415 ,11.721 ,-0.168 ,0.966 ,1.906 ,clay silt
99#,198 ,,0 ,2.963 ,69.740 ,27.297 ,6.894 ,8.409 ,6.813 ,8.895 ,-0.109 ,0.986 ,1.816 ,clay silt
100#,200 ,,0 ,4.379 ,71.658 ,23.963 ,6.638 ,10.042 ,6.461 ,11.354 ,-0.182 ,0.972 ,1.868 ,clay silt
101#,202 ,,0 ,3.355 ,71.784 ,24.861 ,6.706 ,9.577 ,6.526 ,10.848 ,-0.186 ,0.961 ,1.853 ,clay silt
102#,204 ,,0 ,5.194 ,69.922 ,24.883 ,6.646 ,9.984 ,6.486 ,11.159 ,-0.164 ,0.953 ,1.926 ,clay silt
103#,206 ,,0 ,2.123 ,71.784 ,26.093 ,6.825 ,8.819 ,6.676 ,9.778 ,-0.169 ,0.963 ,1.802 ,clay silt
104#,208 ,,0 ,4.291 ,71.127 ,24.583 ,6.678 ,9.768 ,6.538 ,10.764 ,-0.154 ,0.965 ,1.861 ,clay silt
105#,210 ,,0 ,3.351 ,73.808 ,22.842 ,6.627 ,10.120 ,6.441 ,11.514 ,-0.200 ,0.991 ,1.806 ,clay silt
106#,212 ,,0 ,0.643 ,74.124 ,25.233 ,6.869 ,8.555 ,6.687 ,9.705 ,-0.209 ,0.985 ,1.688 ,clay silt
107#,214 ,,0 ,3.868 ,71.394 ,24.738 ,6.678 ,9.769 ,6.521 ,10.890 ,-0.168 ,0.949 ,1.857 ,clay silt
108#,216 ,,0 ,1.473 ,73.885 ,24.642 ,6.783 ,9.079 ,6.571 ,10.515 ,-0.225 ,0.976 ,1.741 ,clay silt
109#,218 ,,0 ,5.070 ,72.558 ,22.372 ,6.524 ,10.864 ,6.325 ,12.472 ,-0.201 ,0.974 ,1.867 ,clay silt
110#,220 ,,0 ,3.205 ,71.503 ,25.292 ,6.783 ,9.079 ,6.636 ,10.057 ,-0.162 ,0.989 ,1.813 ,clay silt
111#,222 ,,0 ,3.743 ,69.592 ,26.665 ,6.850 ,8.671 ,6.754 ,9.266 ,-0.115 ,0.996 ,1.845 ,clay silt
112#,224 ,,0 ,5.117 ,70.668 ,24.216 ,6.684 ,9.727 ,6.558 ,10.611 ,-0.137 ,1.006 ,1.872 ,clay silt
113#,226 ,,0 ,1.746 ,75.990 ,22.265 ,6.703 ,9.598 ,6.509 ,10.978 ,-0.220 ,1.027 ,1.692 ,clay silt
114#,228 ,,0 ,3.146 ,76.274 ,20.580 ,6.563 ,10.579 ,6.372 ,12.073 ,-0.212 ,1.038 ,1.723 ,clay silt
115#,230 ,,0 ,1.905 ,76.758 ,21.337 ,6.658 ,9.902 ,6.459 ,11.368 ,-0.226 ,1.047 ,1.687 ,clay silt
116#,232 ,,0 ,1.150 ,77.932 ,20.918 ,6.661 ,9.881 ,6.450 ,11.440 ,-0.247 ,1.045 ,1.637 ,clay silt
117#,234 ,,0 ,2.503 ,76.563 ,20.934 ,6.607 ,10.261 ,6.399 ,11.852 ,-0.230 ,1.050 ,1.712 ,clay silt
118#,236 ,,0 ,3.136 ,72.694 ,24.170 ,6.752 ,9.276 ,6.602 ,10.294 ,-0.170 ,1.019 ,1.801 ,clay silt
